Fecha de creacion;Ubicacion;Estatus Legal;Genero;Fecha de Nacimiento;Grupo Etario;Edad;Pais de origen;Estado Civil
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;01/09/1971;4. Adultos;52;Venezuela;Union
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;23/04/1991;4. Adultos;33;Venezuela;Union
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;19/06/2013;1. Niño, Niña;11;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;29/08/2019;1. Niño, Niña;4;Venezuela;Soltero
01/04/2024;Guayaquil - MREMH;Otro de Interes;Masculino;01/10/2020;1. Niño, Niña;3;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;28/08/2023;1. Niño, Niña;0;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;28/06/2023;1. Niño, Niña;1;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;17/03/2010;2. Adolecente;14;Venezuela;Soltero
01/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;28/07/1945;5. Adulto Mayor;78;Colombia;Casado
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;19/03/2007;2. Adolecente;17;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;19/05/1971;4. Adultos;53;Venezuela;Soltero
01/04/2024;Guayaquil - MREMH;Otro de Interes;Masculino;03/02/1980;4. Adultos;44;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;19/03/1999;3. Jovenes;25;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;01/07/2010;2. Adolecente;14;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;19/01/2006;3. Jovenes;18;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;10/11/2020;1. Niño, Niña;3;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;02/08/1960;4. Adultos;63;Colombia;Divorciado
01/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;01/02/2006;3. Jovenes;18;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;04/12/1995;3. Jovenes;28;Venezuela;Soltero
01/04/2024;Esmeraldas -MREMH;No de Interes;Masculino;17/12/2003;3. Jovenes;20;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;03/04/1970;4. Adultos;54;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;17/10/1987;4. Adultos;36;Cuba;Union
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;21/08/2000;3. Jovenes;23;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;11/04/2019;1. Niño, Niña;5;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;18/07/1990;4. Adultos;33;Federaci�n Rusa;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;04/03/1992;4. Adultos;32;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;13/10/2002;3. Jovenes;21;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;21/03/1998;3. Jovenes;26;Venezuela;Soltero
01/04/2024;Azogues - MREMH;No de Interes;Femenino;18/02/1993;4. Adultos;31;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;18/06/2021;1. Niño, Niña;3;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;24/02/1986;4. Adultos;38;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;24/06/2011;2. Adolecente;13;Colombia;Soltero
01/04/2024;Azogues - MREMH;No de Interes;Masculino;02/02/2009;2. Adolecente;15;Venezuela;Soltero
01/04/2024;Azogues - MREMH;No de Interes;Femenino;14/09/2011;2. Adolecente;12;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;02/05/2005;3. Jovenes;19;Colombia;Soltero
01/04/2024;Azogues - MREMH;No de Interes;Femenino;28/10/2004;3. Jovenes;19;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;09/03/1999;3. Jovenes;25;Colombia;Union
01/04/2024;Azogues - MREMH;Solicitante de Asilo;Masculino;07/03/1971;4. Adultos;53;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;08/01/1992;4. Adultos;32;Colombia;Union
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;06/07/1994;3. Jovenes;29;Venezuela;Soltero
01/04/2024;Azogues - MREMH;No de Interes;Masculino;11/01/1992;4. Adultos;32;Venezuela;Casado
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;12/07/1984;4. Adultos;39;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;28/08/2010;2. Adolecente;13;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;25/06/1995;3. Jovenes;29;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;27/05/2015;1. Niño, Niña;9;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;27/11/2014;1. Niño, Niña;9;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;18/03/2021;1. Niño, Niña;3;Colombia;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;14/09/1975;4. Adultos;48;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;12/05/1986;4. Adultos;38;Venezuela;Union
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;23/07/2005;3. Jovenes;18;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;05/10/1993;3. Jovenes;30;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;04/03/2013;1. Niño, Niña;11;Venezuela;Soltero
01/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;17/10/2017;1. Niño, Niña;6;Venezuela;Soltero
01/04/2024;Azogues - MREMH;No de Interes;Masculino;06/08/2001;3. Jovenes;22;Venezuela;Soltero
02/04/2024;Azogues - MREMH;Otro de Interes;Femenino;31/08/1988;4. Adultos;35;Venezuela;Soltero
02/04/2024;Azogues - MREMH;Otro de Interes;Masculino;15/12/2007;2. Adolecente;16;Venezuela;Soltero
02/04/2024;Azogues - MREMH;Otro de Interes;Femenino;22/07/1977;4. Adultos;46;Venezuela;Soltero
02/04/2024;Azogues - MREMH;Otro de Interes;Masculino;29/06/1986;4. Adultos;38;Colombia;Soltero
02/04/2024;Azogues - MREMH;Otro de Interes;Masculino;01/01/2013;1. Niño, Niña;11;Venezuela;Soltero
02/04/2024;Azogues - MREMH;Otro de Interes;Masculino;25/01/1987;4. Adultos;37;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;17/01/2000;3. Jovenes;24;Venezuela;Union
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;09/12/1981;4. Adultos;42;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;27/11/1987;4. Adultos;36;Venezuela;Union
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;04/06/2007;2. Adolecente;17;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;13/01/1990;4. Adultos;34;Federaci�n Rusa;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;22/12/2014;1. Niño, Niña;9;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;16/09/2020;1. Niño, Niña;3;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;30/05/2022;1. Niño, Niña;2;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Masculino;09/08/2012;1. Niño, Niña;11;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;23/09/1968;4. Adultos;55;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;19/03/2016;1. Niño, Niña;8;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Masculino;02/02/2004;3. Jovenes;20;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;22/12/2014;1. Niño, Niña;9;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Masculino;27/04/2009;2. Adolecente;15;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;30/11/1980;4. Adultos;43;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;23/09/2000;3. Jovenes;23;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;04/07/2006;2. Adolecente;17;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;05/10/1970;4. Adultos;53;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;25/01/1998;3. Jovenes;26;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;29/04/2002;3. Jovenes;22;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;05/11/1971;4. Adultos;52;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;29/05/1984;4. Adultos;40;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;15/09/1980;4. Adultos;43;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;13/07/2009;2. Adolecente;14;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;29/04/2002;3. Jovenes;22;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;21/07/2017;1. Niño, Niña;6;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;17/04/1970;4. Adultos;54;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;26/12/2002;3. Jovenes;21;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;14/12/1991;4. Adultos;32;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;01/07/2022;1. Niño, Niña;2;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;20/06/2018;1. Niño, Niña;6;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;14/06/1994;3. Jovenes;30;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;28/07/2011;2. Adolecente;12;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;29/10/2002;3. Jovenes;21;Colombia;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;13/10/2018;1. Niño, Niña;5;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;04/05/1991;4. Adultos;33;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;11/09/2009;2. Adolecente;14;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;04/05/1989;4. Adultos;35;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;14/08/2013;1. Niño, Niña;10;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;04/07/2019;1. Niño, Niña;4;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;04/04/2018;1. Niño, Niña;6;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;13/07/2020;1. Niño, Niña;3;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;03/01/2001;3. Jovenes;23;Venezuela;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;12/11/2012;1. Niño, Niña;11;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;28/02/1992;4. Adultos;32;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Refugiado;Masculino;18/02/1984;4. Adultos;40;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;13/09/1989;4. Adultos;34;Venezuela;Union
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;27/07/1991;4. Adultos;32;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;13/03/2020;1. Niño, Niña;4;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;13/03/2021;1. Niño, Niña;3;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Masculino;03/08/1999;3. Jovenes;24;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;27/01/2016;1. Niño, Niña;8;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;17/03/2022;1. Niño, Niña;2;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;01/05/1992;4. Adultos;32;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;21/12/2004;3. Jovenes;19;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;05/04/1977;4. Adultos;47;Cuba;Soltero
02/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;05/05/2008;2. Adolecente;16;Cuba;Soltero
02/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;06/02/2012;2. Adolecente;12;Cuba;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;23/08/1998;3. Jovenes;25;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;11/03/1981;4. Adultos;43;Cuba;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;15/05/2006;3. Jovenes;18;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;03/09/2010;2. Adolecente;13;Cuba;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;28/11/2011;2. Adolecente;12;Colombia;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;03/05/1997;3. Jovenes;27;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;05/04/2020;1. Niño, Niña;4;Venezuela;Soltero
02/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;12/08/2021;1. Niño, Niña;2;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;22/02/1993;4. Adultos;31;Venezuela;Casado
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;10/04/2014;1. Niño, Niña;10;Venezuela;Soltero
02/04/2024;Esmeraldas -MREMH;Solicitante de Asilo;Femenino;12/06/2020;1. Niño, Niña;4;Venezuela;Soltero
02/04/2024;Ibarra - MREMH;Refugiado;Femenino;22/10/1994;3. Jovenes;29;Colombia;Soltero
02/04/2024;Ibarra - MREMH;Refugiado;Masculino;01/02/2000;3. Jovenes;24;Colombia;Soltero
03/04/2024;Guayaquil - MREMH;Solicitante de Asilo;Masculino;28/03/2001;3. Jovenes;23;Libano;Soltero
03/04/2024;Tulcan - MREMH;No de Interes;Masculino;27/04/1984;4. Adultos;40;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;05/05/1995;3. Jovenes;29;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;16/06/1990;4. Adultos;34;Colombia;Casado
03/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;02/12/1987;4. Adultos;36;Colombia;Casado
03/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;07/01/2009;2. Adolecente;15;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;12/07/2022;1. Niño, Niña;1;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;31/12/1976;4. Adultos;47;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Solicitante de Asilo;Femenino;09/06/2007;2. Adolecente;17;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Solicitante de Asilo;Masculino;11/02/2002;3. Jovenes;22;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;02/08/2000;3. Jovenes;23;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;26/12/1963;4. Adultos;60;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;06/06/1984;4. Adultos;40;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;23/03/2020;1. Niño, Niña;4;Colombia;Soltero
03/04/2024;Pichincha - MREMH;No de Interes;Femenino;09/04/1991;4. Adultos;33;Venezuela;Union
03/04/2024;Pichincha - MREMH;No de Interes;Femenino;10/05/2019;1. Niño, Niña;5;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;No de Interes;Masculino;13/01/2012;2. Adolecente;12;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;18/09/1988;4. Adultos;35;Colombia;Union
03/04/2024;Pichincha - MREMH;No de Interes;Femenino;20/05/2021;1. Niño, Niña;3;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;30/05/2008;2. Adolecente;16;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;25/06/1999;3. Jovenes;25;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;11/04/1983;4. Adultos;41;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;05/05/2011;2. Adolecente;13;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;13/04/1998;3. Jovenes;26;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;27/05/2012;2. Adolecente;12;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;14/06/2017;1. Niño, Niña;7;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;24/07/2014;1. Niño, Niña;9;Colombia;Soltero
03/04/2024;Esmeraldas -MREMH;Refugiado;Femenino;24/12/2008;2. Adolecente;15;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;13/05/2019;1. Niño, Niña;5;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;03/06/2016;1. Niño, Niña;8;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;09/10/1992;4. Adultos;31;Venezuela;Union
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;08/06/2020;1. Niño, Niña;4;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;02/08/2000;3. Jovenes;23;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;12/08/1993;3. Jovenes;30;Venezuela;Union
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;20/06/2016;1. Niño, Niña;8;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;25/12/1963;4. Adultos;60;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;30/07/2008;2. Adolecente;15;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;31/05/2012;2. Adolecente;12;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;22/03/1989;4. Adultos;35;Venezuela;Union
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;11/04/1984;4. Adultos;40;Venezuela;Union
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;30/09/2008;2. Adolecente;15;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;07/06/2010;2. Adolecente;14;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;23/04/2012;2. Adolecente;12;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;28/04/1983;4. Adultos;41;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;21/09/1986;4. Adultos;37;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;08/11/2018;1. Niño, Niña;5;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;31/08/1999;3. Jovenes;24;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;25/04/2021;1. Niño, Niña;3;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;07/08/2016;1. Niño, Niña;7;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;02/06/2002;3. Jovenes;22;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;01/02/2019;1. Niño, Niña;5;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;19/08/1967;4. Adultos;56;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;17/10/2004;3. Jovenes;19;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;19/02/2009;2. Adolecente;15;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;07/09/2006;2. Adolecente;17;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;15/09/1998;3. Jovenes;25;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;19/03/1985;4. Adultos;39;Colombia;Casado
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;23/06/2002;3. Jovenes;22;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;18/02/2022;1. Niño, Niña;2;Colombia;Soltero
03/04/2024;Azogues - MREMH;No de Interes;Femenino;03/01/1997;3. Jovenes;27;Venezuela;Soltero
03/04/2024;Azogues - MREMH;No de Interes;Masculino;12/02/1982;4. Adultos;42;Venezuela;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;20/04/1989;4. Adultos;35;Colombia;Union
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;15/11/2011;2. Adolecente;12;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;28/12/1973;4. Adultos;50;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;22/09/2010;2. Adolecente;13;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;04/10/2014;1. Niño, Niña;9;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Femenino;03/12/1987;4. Adultos;36;Colombia;Soltero
03/04/2024;Pichincha - MREMH;Otro de Interes;Masculino;25/05/2007;2. Adolecente;17;Colombia;Soltero
